"","quants",""
"224",0.223,-0.334987219285219
"225",0.224,-0.332048278945154
"226",0.225,-0.329175205030929
"227",0.226,-0.326742306887099
"228",0.227,-0.324277032552427
"229",0.228,-0.321299795299748
"230",0.229,-0.318658415225005
"231",0.23,-0.316096478555211
"232",0.231,-0.313460683773993
"233",0.232,-0.310426767276062
"234",0.233,-0.307924294057289
"235",0.234,-0.305106797234798
"236",0.235,-0.302762566600559
"237",0.236,-0.3003319806513
"238",0.237,-0.29785985698013
"239",0.238,-0.294989358938067
"240",0.239,-0.292352735305629
"241",0.24,-0.289703262629443
"242",0.241,-0.2875517175656
"243",0.242,-0.284922361694013
"244",0.243,-0.282577062841491
"245",0.244,-0.27956934717086
"246",0.245,-0.277432063900579
"247",0.246,-0.275210219535957
"248",0.247,-0.272670823393488
"249",0.248,-0.270408281191728
"250",0.249,-0.267744902902743
"251",0.25,-0.265268427822686
"252",0.251,-0.263025710983132
"253",0.252,-0.26071164832548
"254",0.253,-0.258345911687093
"255",0.254,-0.256004073475939
"256",0.255,-0.254091530595608
"257",0.256,-0.252096794554722
"258",0.257,-0.249506780089818
"259",0.258,-0.247206605537657
"260",0.259,-0.244906694316843
"261",0.26,-0.242492376732458
"262",0.261,-0.240161409792304
"263",0.262,-0.237974296255264
"264",0.263,-0.235552670648475
"265",0.264,-0.233223151774609
"266",0.265,-0.230979741398704
"267",0.266,-0.22839379758569
"268",0.267,-0.225878171832136
"269",0.268,-0.223584997495026
"270",0.269,-0.221265200329439
"271",0.27,-0.218894378712786
"272",0.271,-0.216756368473272
"273",0.272,-0.214533833913038
"274",0.273,-0.211924673022216
"275",0.274,-0.209776181297085
"276",0.275,-0.207378489390511
"277",0.276,-0.205319246798387
"278",0.277,-0.20306310735168
"279",0.278,-0.200915956069315
"280",0.279,-0.198633830632428
"281",0.28,-0.19629513362343
"282",0.281,-0.194354234804632
"283",0.282,-0.192384358316238
"284",0.283,-0.190159734925757
"285",0.284,-0.187883371013323
"286",0.285,-0.185946184305058
"287",0.286,-0.183713164150662
"288",0.287,-0.1814502735282
"289",0.288,-0.179527746646668
"290",0.289,-0.177352336086022
"291",0.29,-0.175182870124426
"292",0.291,-0.173188555542783
"293",0.292,-0.171124394051382
"294",0.293,-0.168668233044258
"295",0.294,-0.166683343556443
"296",0.295,-0.164920314165684
"297",0.296,-0.162921252226774
"298",0.297,-0.160778107563482
"299",0.298,-0.158845618728817
"300",0.299,-0.15692037722925
"301",0.3,-0.154898013753201
"302",0.301,-0.15271618863568
"303",0.302,-0.150828616882476
"304",0.303,-0.148555990020681
"305",0.304,-0.146625198068098
